mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,brand,power_to_weight
31.9,4,89.0,71.0,1925,14.0,79,europe,vw rabbit custom,volkswagen,0.036883116883116886
34.1,4,86.0,65.0,1975,15.2,79,japan,maxda glc deluxe,mazda,0.03291139240506329
35.7,4,98.0,80.0,1915,14.4,79,usa,dodge colt hatchback custom,dodge,0.04177545691906005
27.4,4,121.0,80.0,2670,15.0,79,usa,amc spirit dl,amc,0.0299625468164794
25.4,5,183.0,77.0,3530,20.1,79,europe,mercedes benz 300d,mercedes-benz,0.02181303116147309
23.0,8,350.0,125.0,3900,17.4,79,usa,cadillac eldorado,cadillac,0.03205128205128205
27.2,4,141.0,71.0,3190,24.8,79,europe,peugeot 504,peugeot,0.02225705329153605
23.9,8,260.0,90.0,3420,22.2,79,usa,oldsmobile cutlass salon brougham,oldsmobile,0.02631578947368421
34.2,4,105.0,70.0,2200,13.2,79,usa,plymouth horizon,plymouth,0.031818181818181815
34.5,4,105.0,70.0,2150,14.9,79,usa,plymouth horizon tc3,plymouth,0.03255813953488372
31.8,4,85.0,65.0,2020,19.2,79,japan,datsun 210,datsun,0.03217821782178218
37.3,4,91.0,69.0,2130,14.7,79,europe,fiat strada custom,fiat,0.0323943661971831
28.4,4,151.0,90.0,2670,16.0,79,usa,buick skylark limited,buick,0.033707865168539325
28.8,6,173.0,115.0,2595,11.3,79,usa,chevrolet citation,chevrolet,0.04431599229287091
26.8,6,173.0,115.0,2700,12.9,79,usa,oldsmobile omega brougham,oldsmobile,0.04259259259259259
33.5,4,151.0,90.0,2556,13.2,79,usa,pontiac phoenix,pontiac,0.035211267605633804
41.5,4,98.0,76.0,2144,14.7,80,europe,vw rabbit,volkswagen,0.03544776119402985
38.1,4,89.0,60.0,1968,18.8,80,japan,toyota corolla tercel,toyota,0.03048780487804878
32.1,4,98.0,70.0,2120,15.5,80,usa,chevrolet chevette,chevrolet,0.0330188679245283
37.2,4,86.0,65.0,2019,16.4,80,japan,datsun 310,datsun,0.032194155522535906
28.0,4,151.0,90.0,2678,16.5,80,usa,chevrolet citation,chevrolet,0.033607169529499624
26.4,4,140.0,88.0,2870,18.1,80,usa,ford fairmont,ford,0.030662020905923345
24.3,4,151.0,90.0,3003,20.1,80,usa,amc concord,amc,0.029970029970029972
19.1,6,225.0,90.0,3381,18.7,80,usa,dodge aspen,dodge,0.026619343389529725
34.3,4,97.0,78.0,2188,15.8,80,europe,audi 4000,audi,0.0356489945155393
29.8,4,134.0,90.0,2711,15.5,80,japan,toyota corona liftback,toyota,0.033198081888601995
31.3,4,120.0,75.0,2542,17.5,80,japan,mazda 626,mazda,0.029504327301337528
37.0,4,119.0,92.0,2434,15.0,80,japan,datsun 510 hatchback,datsun,0.03779786359901397
32.2,4,108.0,75.0,2265,15.2,80,japan,toyota corolla,toyota,0.033112582781456956
46.6,4,86.0,65.0,2110,17.9,80,japan,mazda glc,mazda,0.030805687203791468
27.9,4,156.0,105.0,2800,14.4,80,usa,dodge colt,dodge,0.0375
40.8,4,85.0,65.0,2110,19.2,80,japan,datsun 210,datsun,0.030805687203791468
44.3,4,90.0,48.0,2085,21.7,80,europe,vw rabbit c (diesel),volkswagen,0.02302158273381295
43.4,4,90.0,48.0,2335,23.7,80,europe,vw dasher (diesel),volkswagen,0.020556745182012847
36.4,5,121.0,67.0,2950,19.9,80,europe,audi 5000s (diesel),audi,0.02271186440677966
30.0,4,146.0,67.0,3250,21.8,80,europe,mercedes-benz 240d,mercedes-benz,0.020615384615384615
44.6,4,91.0,67.0,1850,13.8,80,japan,honda civic 1500 gl,honda,0.036216216216216214
33.8,4,97.0,67.0,2145,18.0,80,japan,subaru dl,subaru,0.031235431235431235
29.8,4,89.0,62.0,1845,15.3,80,europe,vokswagen rabbit,volkswagen,0.03360433604336043
32.7,6,168.0,132.0,2910,11.4,80,japan,datsun 280-zx,datsun,0.04536082474226804
23.7,3,70.0,100.0,2420,12.5,80,japan,mazda rx-7 gs,mazda,0.04132231404958678
35.0,4,122.0,88.0,2500,15.1,80,europe,triumph tr7 coupe,triumph,0.0352
32.4,4,107.0,72.0,2290,17.0,80,japan,honda accord,honda,0.0314410480349345
27.2,4,135.0,84.0,2490,15.7,81,usa,plymouth reliant,plymouth,0.033734939759036145
26.6,4,151.0,84.0,2635,16.4,81,usa,buick skylark,buick,0.031878557874762806
25.8,4,156.0,92.0,2620,14.4,81,usa,dodge aries wagon (sw),dodge,0.035114503816793895
23.5,6,173.0,110.0,2725,12.6,81,usa,chevrolet citation,chevrolet,0.04036697247706422
30.0,4,135.0,84.0,2385,12.9,81,usa,plymouth reliant,plymouth,0.03522012578616352
39.1,4,79.0,58.0,1755,16.9,81,japan,toyota starlet,toyota,0.03304843304843305
39.0,4,86.0,64.0,1875,16.4,81,usa,plymouth champ,plymouth,0.034133333333333335
35.1,4,81.0,60.0,1760,16.1,81,japan,honda civic 1300,honda,0.03409090909090909
32.3,4,97.0,67.0,2065,17.8,81,japan,subaru,subaru,0.0324455205811138
37.0,4,85.0,65.0,1975,19.4,81,japan,datsun 210 mpg,datsun,0.03291139240506329
37.7,4,89.0,62.0,2050,17.3,81,japan,toyota tercel,toyota,0.03024390243902439
34.1,4,91.0,68.0,1985,16.0,81,japan,mazda glc 4,mazda,0.03425692695214106
34.7,4,105.0,63.0,2215,14.9,81,usa,plymouth horizon 4,plymouth,0.028442437923250564
34.4,4,98.0,65.0,2045,16.2,81,usa,ford escort 4w,ford,0.03178484107579462
29.9,4,98.0,65.0,2380,20.7,81,usa,ford escort 2h,ford,0.0273109243697479
33.0,4,105.0,74.0,2190,14.2,81,europe,volkswagen jetta,volkswagen,0.033789954337899546
33.7,4,107.0,75.0,2210,14.4,81,japan,honda prelude,honda,0.033936651583710405
32.4,4,108.0,75.0,2350,16.8,81,japan,toyota corolla,toyota,0.031914893617021274
32.9,4,119.0,100.0,2615,14.8,81,japan,datsun 200sx,datsun,0.03824091778202677
31.6,4,120.0,74.0,2635,18.3,81,japan,mazda 626,mazda,0.02808349146110057
28.1,4,141.0,80.0,3230,20.4,81,europe,peugeot 505s turbo diesel,peugeot,0.02476780185758514
30.7,6,145.0,76.0,3160,19.6,81,europe,volvo diesel,volvo,0.024050632911392405
25.4,6,168.0,116.0,2900,12.6,81,japan,toyota cressida,toyota,0.04
24.2,6,146.0,120.0,2930,13.8,81,japan,datsun 810 maxima,datsun,0.040955631399317405
22.4,6,231.0,110.0,3415,15.8,81,usa,buick century,buick,0.032210834553440704
26.6,8,350.0,105.0,3725,19.0,81,usa,oldsmobile cutlass ls,oldsmobile,0.028187919463087248
20.2,6,200.0,88.0,3060,17.1,81,usa,ford granada gl,ford,0.02875816993464052
17.6,6,225.0,85.0,3465,16.6,81,usa,chrysler lebaron salon,chrysler,0.024531024531024532
28.0,4,112.0,88.0,2605,19.6,82,usa,chevrolet cavalier,chevrolet,0.03378119001919386
27.0,4,112.0,88.0,2640,18.6,82,usa,chevrolet cavalier wagon,chevrolet,0.03333333333333333
34.0,4,112.0,88.0,2395,18.0,82,usa,chevrolet cavalier 2-door,chevrolet,0.03674321503131524
31.0,4,112.0,85.0,2575,16.2,82,usa,pontiac j2000 se hatchback,pontiac,0.03300970873786408
29.0,4,135.0,84.0,2525,16.0,82,usa,dodge aries se,dodge,0.03326732673267327
27.0,4,151.0,90.0,2735,18.0,82,usa,pontiac phoenix,pontiac,0.03290676416819013
24.0,4,140.0,92.0,2865,16.4,82,usa,ford fairmont futura,ford,0.03211169284467714
36.0,4,105.0,74.0,1980,15.3,82,europe,volkswagen rabbit l,volkswagen,0.03737373737373737
37.0,4,91.0,68.0,2025,18.2,82,japan,mazda glc custom l,mazda,0.03358024691358025
31.0,4,91.0,68.0,1970,17.6,82,japan,mazda glc custom,mazda,0.03451776649746193
38.0,4,105.0,63.0,2125,14.7,82,usa,plymouth horizon miser,plymouth,0.029647058823529412
36.0,4,98.0,70.0,2125,17.3,82,usa,mercury lynx l,mercury,0.03294117647058824
36.0,4,120.0,88.0,2160,14.5,82,japan,nissan stanza xe,nissan,0.040740740740740744
36.0,4,107.0,75.0,2205,14.5,82,japan,honda accord,honda,0.034013605442176874
34.0,4,108.0,70.0,2245,16.9,82,japan,toyota corolla,toyota,0.031180400890868598
38.0,4,91.0,67.0,1965,15.0,82,japan,honda civic,honda,0.03409669211195929
32.0,4,91.0,67.0,1965,15.7,82,japan,honda civic (auto),honda,0.03409669211195929
38.0,4,91.0,67.0,1995,16.2,82,japan,datsun 310 gx,datsun,0.033583959899749376
25.0,6,181.0,110.0,2945,16.4,82,usa,buick century limited,buick,0.03735144312393888
38.0,6,262.0,85.0,3015,17.0,82,usa,oldsmobile cutlass ciera (diesel),oldsmobile,0.028192371475953566
26.0,4,156.0,92.0,2585,14.5,82,usa,chrysler lebaron medallion,chrysler,0.035589941972920695
22.0,6,232.0,112.0,2835,14.7,82,usa,ford granada l,ford,0.03950617283950617
32.0,4,144.0,96.0,2665,13.9,82,japan,toyota celica gt,toyota,0.03602251407129456
36.0,4,135.0,84.0,2370,13.0,82,usa,dodge charger 2.2,dodge,0.035443037974683546
27.0,4,151.0,90.0,2950,17.3,82,usa,chevrolet camaro,chevrolet,0.030508474576271188
27.0,4,140.0,86.0,2790,15.6,82,usa,ford mustang gl,ford,0.03082437275985663
44.0,4,97.0,52.0,2130,24.6,82,europe,vw pickup,volkswagen,0.024413145539906103
32.0,4,135.0,84.0,2295,11.6,82,usa,dodge rampage,dodge,0.036601307189542485
28.0,4,120.0,79.0,2625,18.6,82,usa,ford ranger,ford,0.030095238095238095
31.0,4,119.0,82.0,2720,19.4,82,usa,chevy s-10,chevrolet,0.030147058823529412
